  Trial 280 | Epoch 130 | GP NLPD: 263696.71 | JEPA Loss:   0.82 | SR: 2.52
  Trial 280 | Epoch 140 | GP NLPD: 263988.06 | JEPA Loss:   0.81 | SR: 2.52
  Trial 280 | Epoch 150 | GP NLPD: 263900.69 | JEPA Loss:   0.81 | SR: 2.54
  Trial 280 | Epoch 160 | GP NLPD: 264726.80 | JEPA Loss:   0.81 | SR: 2.56
  Trial 280 | Epoch 170 | GP NLPD: 265582.40 | JEPA Loss:   0.81 | SR: 2.60
  Trial 280 | Epoch 180 | GP NLPD: 266336.42 | JEPA Loss:   0.82 | SR: 2.59
  Trial 280 | Epoch 190 | GP NLPD: 267399.68 | JEPA Loss:   0.79 | SR: 2.66
  Trial 280 | Epoch 200 | GP NLPD: 268283.32 | JEPA Loss:   0.79 | SR: 2.66
  Trial 280 | Epoch 210 | GP NLPD: 269877.96 | JEPA Loss:   0.80 | SR: 2.70
  Trial 280 | Epoch 220 | GP NLPD: 271099.78 | JEPA Loss:   0.78 | SR: 2.72
  Trial 280 | Epoch 230 | GP NLPD: 273016.31 | JEPA Loss:   0.78 | SR: 2.73
  Trial 280 | Epoch 240 | GP NLPD: 274135.90 | JEPA Loss:   0.77 | SR: 2.75
  Trial 280 | Epoch 250 | GP NLPD: 274894.84 | JEPA Loss:   0.78 | SR: 2.75
  Trial 280 | Epoch 260 | GP NLPD: 276298.64 | JEPA Loss:   0.78 | SR: 2.73
  Trial 280 | Epoch 270 | GP NLPD: 277567.38 | JEPA Loss:   0.78 | SR: 2.75
  Trial 280 | Epoch 280 | GP NLPD: 278844.05 | JEPA Loss:   0.78 | SR: 2.77
  Trial 280 | Epoch 290 | GP NLPD: 279670.58 | JEPA Loss:   0.79 | SR: 2.74
  Trial 280 | Epoch 299 | GP NLPD: 280103.82 | JEPA Loss:   0.79 | SR: 2.72
[I 2026-09-04 01:43:19,674] Trial 280 finished with values: [263320.6171875, 0.8088475801050663, -2.5134658018747964] and parameters: {'encoder_layers': 2, 'encoder_hidden': 32, 'latent_dim': 9, 'gp_num_inducing': 512, 'gp_kernel': 'RBF', 'gp_periodic': True, 'gp_composition': 'additive', 'gp_mean': 'Zero', 'lr': 0.0002166595521301043, 'gp_lr': 0.0013280937386229983, 'var_weight': 22.86628996503969, 'cov_weight': 44.334893952817794, 'topo_weight': 4.629866469735148, 'ema_tau': 0.9917082375834424, 'aug_noise': 0.09508627802450437, 'aug_dropout': 0.16803956709965245}.
  Trial 281: JIT compilation took 0.0s
  Trial 281 | Epoch 000 | GP NLPD: 284941.49 | JEPA Loss:   0.78 | SR: 2.42
  Trial 281 | Epoch 010 | GP NLPD: 319943.78 | JEPA Loss:   0.66 | SR: 3.74
  Trial 281 | Epoch 020 | GP NLPD: 322045.08 | JEPA Loss:   0.67 | SR: 3.69
  Trial 281 | Epoch 030 | GP NLPD: 322212.99 | JEPA Loss:   0.67 | SR: 3.60
  Trial 281 | Epoch 040 | GP NLPD: 322374.66 | JEPA Loss:   0.72 | SR: 3.42
